id,comment
@user-oo4ht6ob4y,너무좋네요 
@tvsamontv5208,갓띵곡!!! ~~아직까지 애창곡1순위^^
@smoon741128,나의  20대 시절 그립다~이때로 돌아가고 싶다~
@user-mu1xv3jh9p,넘 경쾌하고 좋아요.
@user-oq6xt5db8k,최고!!
@user-fm4pm8ub6r,지금 2020년에도 쿨노래 만한 곡들을 찾아볼래야 볼수가 없다
@user-su9jg1ud7g,태어나기전인데 이때 태어났으면 어땠을까 이 시절을 겪었으면 좋았을텐데... 한번도 겪어본 적 없는 시대에 왠지 마음이 뭉클해지고 향수병을 불러 일으키는 건 왜일까
@mountainrigi,이재훈은 지금나와도 인기쩔듯
@ll-tg7xz,유리가 춤을 예쁘게 잘춘다.
@juhoson5470,아 내 오래방 18번. 언제 불러도 신나는 노래. 다시 한번 완전체로 나오셔도 좋을 듯.
@user-ct2sl2ew7q,"5번만 들어봐봐요... 머릿속에서 하루종일 맴돔,,,,,,,,,,,,,,"
@user-DaHong-I,난 가끔씩 그대 생각을 할때마다늘 가까운 듯 멀게만 느껴지는데이렇게 늘 만날때엔 날 사랑한다지만 뒤돌아서면 왠지 슬픈 예감만이 너무도 변해버린 모습은 내게 말할 수 없는 아픔을 전해주지만 그런 너 이제 그만 힘들어 해 나 그런 너의 맘을 이해할 수 있어 오 나를 바라보는 그대 눈빛 말하지 않아도 우리의 마지막을 난 준비하려해 오 나의 사랑을 속여가며 웃음지려 한 건 뒤돌아 흘릴 눈물 눈물 때문이야 오우워그대 내게 주었던 사랑 그보다 더 행복한 건 내겐 없었어 그래 나 이제 널 떠나보내줄께 더 이상 슬퍼지려하기전에 오 나를 바라보는 그대 눈빛 말하지 않아도 우리의 마지막을 난 준비하려해 오 나의 사랑을 속여가며 웃음지려 한 건 뒤돌아 흘릴 눈물 눈물때문이야 그대 내게 주었던 사랑 그보다 더 행복한 건 내겐 없었어 그래 나 이제 널 떠나보내줄께 더 이상 슬퍼지려하기전에
@999nts,이 노래 노래방 탑이었음. 지금도 노래방에 가면 많이들 부르지요
@gamgigoun,노래 좋습니다~
@user-pb9fq3ov9p,명곡이죠 ㅠ ㅠ ㅠ 노래방 땡기네요
@nanakim8585,아니 진짜 이재훈 왜케 잘생김???ㅋㅋㅋㅋ저 얼굴로 이상형 바뀔기세..춤추다 삐끗한것도 너무 귀엽다..
@user-dh8qw5do9q,요즘은 이런노래 왜 안나오나요
@user-rb1zy8kl5z,이때가 그립다
@j.h2580,옛추억이 새록새록 나게하네용~
@et-ur9ox,이 시대는 1위부터 100위까지가일위후보곡들
@plmplm1268,이 노래가 당시에 1등을 못 한게 지금도 아이러니..물론 저 당시에는 이 노래 말고도 주옥같은 노래들도 많기는 햇엇지만
@chrispark2312,이때가 그립네요 쿨은 완전체 내 사랑 였답니다
@soo.k3098,재훈님 목소리는 사람을 너무너무 설레게하네요.^홈쇼핑 ost라도 나오면 채널고정ㅋㅋ
@user-jm9rp5vo2o,이재훈 짱!!!
@user-gv2tm4cf6h,진짜 쿨 복귀하면 기쁠텐데 다들 연세가 ㅋㅋ...
@user-fc5cl9cr1r,쿨의 유리처럼 노래 저따위로 하면서 가수할수있는 나라는 대한민국이 유일할 거라고 확신한다.
@user-se2zh9zc5u,난 2022년 오늘.ㅋㅋ나의 20대를 쿨과함께 보내며... 지금 같이 살고있는 사람과 여행다니며 놀러다닐때 항상 차안에서 듣던 쿨의 노래들... 그때가 그립다.40대가 된 지금 이 영상을 보며 추억에 젖는다.
@user-jr8os3sk4x,넘신나고 아직도좋은..
@user-xw9er9fq2w,23년에 들어도 좋다~
@tochjo772,정말 대단했습니다90 년대 정말 대한민국에  최고에 해는 90 년도 였었지 않아 싶네요
@user-yj1cb5rt5d,쿵짝쿵짝쿵짝쿵짝쿵짝 이박자넘조아~~ 90년대노래가 최고다!!
@user-wn3dm3rj9d,언제 들어도 짱입니다요~~
@gongdori870,미스테리하네요. 노래며 가사며 의상이며 외모며 하나도 촌스럽지않다니...시대를 앞서간건인가???
@user-jv4sg1cm2x,이재훈 존잘이다 노래도 넘나 좋응것
@user-gi7oo5em2w,쿨.영원하라.
@tigerjk75,thanks for bringing back the best memories!
@user-yd3zj5ik1r,"이시대 최고의 댄스곡~~~"""""
@asongwhiledrunken4782,"난 가끔 그대 생각을 할 때마다 늘 가까운 듯 멀게만 느껴지는데 오~ 이렇게 널 만날 때에 날 사랑한다지만 뒤돌아서면 왠지 슬픈 예감이 우~~변해버린 모습은 내게말할수 없는 아픔을 전해주지만그런 너 이젠 그 말은 뒤로해나 그런 너의 맘을 이해 할 수 있어오, 나를 바라보는 그대눈빛 말하지 않아도 우리의 마지막을 난 준비하려 해 오~ 오, 나의 사랑을 속여가며 웃음지려 한 건 뒤돌아 흘릴 눈물눈물 때문이야 ....워우워~ 그래 내게 주었던 사랑그보다더 행복한건 내게 없었었어그래 나 이젠 널 떠나보내 줄게더 이상 슬퍼지려 하기전에 오~ 나를 바라보는 그대눈빛 말하지 않아도우리의 마지막을 난 준비하려 해오~ 나의 사랑을 속여가며 웃음 지려 한건뒤돌아 흘릴 눈물눈물 때문이야 워우워~그래 나에게 주었던 사랑그보다더 행복한건 내겐 없었어그래 나이젠 널 떠나보내 줄게 더이상 슬퍼지려 하기전에~"
@user-dg3ie4de5j,셋다 왤캐 풋풋하고 예쁘고 잘생겼냐 
@georgeb867,신나기도 하지만 가사도 잘 들림. 요즘 노래는 가사전달력은 별로 생각 안하는 듯.
@user-jb9qc9tv5e,이재훈 춤 실력도 상위 1프로였고 집도 잘살았다고 하네요
@hyup821221,82년생입니다. 왠지 70이 넘어도 쿨 노래 들을 것 같은 느낌이 ㅋㅋㅋ
@user-jm9rp5vo2o,이재훈 짱
@alsl06128,쿨 노래는 질리지않고지금들어도 다 넘좋아~이재훈도 변함없는외모ㅋ
@jameslee9675,OMG this song brings so much memory. I was visiting my sick grandmother back in 94
@LYW_HERO0616,임영웅콘서트 앵콜곡..으로 나왔었는데   옛날생각도 나고 너무좋았는데 . 쿨도 보고싶고 서태지도 그립고 영웅이도 보고싶네 ~~내청춘의 기록들
@user-pw3gx5tm2i,그때 여름에 휴가때 차운전하며 듣던기억이 새록새록 하네요.아! 그립다. 청춘아.
@user-ex3cp7pb9d,역시 쿨은 유리가 있어야지
@user-vo1dw2me9m,요즘도 노래가 많이 나오긴 하지만 이때처럼 좋진 않은 거 같다
@user-xx5vv7ok5d,쿨 노래은 다좋아 역시 ㅎㅎㅎ 보고싶네 티비에서 ㅎㅎㅎ
@user-oc2cd9ug9h,처음에는 흥이 약간 신나고 중간과 끝에는 흥이 100%  신난다
@user-zi3ix5vx8g,당장 춤추고 싶다..젊은이들여 즐겨라.
@user-sp8hg2vi3j,라떼는 진짜 많이 어디선가 들려왔는데 너무 반갑다 제목도 모르는데 음이랑 가사 어느정도 알고 있음 그만큼 많이 들었나보다 ㅋㅋㅋ
@user-es7zh1jv9e,"이런 저화질에도 불구하고 외모가 돋보이는 사람,,, 이재훈"
@sysy2252,이재훈 진짜 잘생김
@user-fo6kg4wn2h,언제들어도 좋아여~^^
@BB-fr4od,00년생인데 쿨노래가 제일좋음ㅎ 내년에 대학가도 이노래듣겠지ㅎ
@hankhan278,2023년 6월에 다시생각나서 들으러온 사람손
@kitty7864,"쿨, 샵, 코요테.. 대한민국 최고의 혼성그룹"
@user-es1yi7eg4q,"난 가끔씩 그대 생각을 할 때마다 (나 가끔 그대 생각을 할 때 마다)늘 가까운 듯 멀게만 느껴지는데 오 (늘 가까운 듯 멀게만 느껴져) 이렇게 널 만날 때에 날 사랑한다지만뒤돌아서면 왠지 슬픈 예감만이 너무도 변해버린 모습은 내게 (너무도 변해버린 모습은 내게)말할 수 없는 아픔을 전해주지만 그런 너 이젠 그만 힘들어 해나 그런 너의 맘을 이해 할 수 있어 오, 나를 바라보는 그대 눈빛말하지 않아도 우리의 마지막을 난 준비하려해 오, 나의 사랑을 속여 가며 웃음지으려 한 건뒤돌아 흘릴 눈물 눈물 때문이야 워우워 그대 나에게 주었던 사랑그보다 더 행복한건 내게 없었어 워우워 그래 나 이젠 널 떠나보내 줄게더 이상 슬퍼지려 하기 전에 오 나를 바라보는 그대 눈빛 말하지 않아도우리의 마지막을 난 준비하려 해 오 나의 사랑을 속여 가며 웃음 지려 한건뒤돌아 흘릴 눈물 눈물 때문이야 워우워 그래 내게 주었던 사랑그보다 더 행복한건 내겐 없었어 워우워 그래 나 이젠 널 떠나보내 줄게더이상 슬퍼지려 하기 전에 접기"
@user-zv1pv2hl2r,와재훈이혐 젊었을때개잘생겼다
@leehy37,내나이 20대때..와 생각만으로도 행복하다.
@user-vs3gr8je3f,이재훈목소리넘좋아서 ㆍㆍ
@user-eo7ho2jz6t,요즘엔 왜 이런 노래가 없을까?
@user-dq7zb2gb9o,김성수는 진짜.....럭키하다...
@user-bv9ej5se8d,아직 쿨을 놓치 못한 1인 입니다.당신의 노력에 감사 드립니다.
@sarahlee4842,춤 정말 재밌게 춘다
@cw428,가사도 좋다ㄷㄷ
@user-bt4gn1cy1i,우리 멤버들 역시 슬퍼지려하기전에 춤추기 좋아서~참 좋아했었지......98년도 당시 난 당시 쿨 춤추는것 한번도 못보고그저 형님들 추는거 보고 내가 응용해서 잘췄었는데
@jhj8367,"노래 좋다,, 그냥 저때로 돌아가고싶다 ㅠ  47세"
@papayulli2291,1995년 한창 첫사랑과 함께하던시절...듣고있으면 가끔씩 눈물이 흐르곤 합니다...
